x,y,u,v,p
0.44,0.1,-0.1387177,0.01201792,0.09971555
0.46,0.1,-0.1418742,0.007613621,0.09974086
0.48,0.1,-0.143486,0.002782651,0.09984805
0.5,0.1,-0.1434695,-0.002344439,0.1000317
0.52,0.1,-0.1417779,-0.007615826,0.1002799
0.54,0.1,-0.1384037,-0.01286293,0.1005744
0.56,0.1,-0.1333812,-0.01790594,0.1008914
0.58,0.1,-0.1267889,-0.02256053,0.1012034
0.6,0.1,-0.1187514,-0.0266458,0.101481
0.62,0.1,-0.1094398,-0.02999332,0.1016956
0.64,0.1,-0.09907076,-0.03245707,0.101822
0.66,0.1,-0.08790291,-0.03392353,0.1018418
0.68,0.1,-0.0762307,-0.03432117,0.1017444
0.7,0.1,-0.0643746,-0.03362831,0.1015292
0.72,0.1,-0.05266833,-0.03187795,0.1012054
0.74,0.1,-0.04144358,-0.02915883,0.1007912
0.76,0.1,-0.03101277,-0.02561207,0.1003113
0.78,0.1,-0.02165201,-0.02142335,0.09979447
0.8,0.1,-0.01358487,-0.01681141,0.09927016
0.82,0.1,-0.006969305,-0.01201482,0.09876535
0.84,0.1,-0.001887768,-0.007278648,0.09830232
0.86,0.1,0.001658023,-0.00284431,0.09789718
0.88,0.1,0.003748299,0.001055454,0.09755971
0.9,0.1,0.004543174,0.004195018,0.09729424
0.92,0.1,0.00427859,0.006348086,0.09710163
0.94,0.1,0.003263065,0.007276763,0.09698182
0.96,0.1,0.001879739,0.006722128,0.09693675
0.98,0.1,0.000600986,0.004398169,0.09697295
1,0.1,0,0,0.09707183
0,0.12,0,0,0.10471
0.02,0.12,-0.000689962,0.001481674,0.1045714
0.04,0.12,-0.002638723,0.004122104,0.104411
0.06,0.12,-0.005754065,0.00727728,0.1042554
0.08,0.12,-0.009919225,0.01056751,0.1041004
0.1,0.12,-0.01503778,0.01380726,0.1039404
0.12,0.12,-0.02104061,0.01692864,0.1037695
0.14,0.12,-0.02788078,0.01992104,0.1035818
0.16,0.12,-0.03552206,0.02278837,0.1033717
0.18,0.12,-0.0439256,0.02552291,0.103135
0.2,0.12,-0.053038,0.02809249,0.1028682
0.22,0.12,-0.06278241,0.0304375,0.1025695
0.24,0.12,-0.07305328,0.0324742,0.1022388
0.26,0.12,-0.08371457,0.03410174,0.1018784
0.28,0.12,-0.09460133,0.03521095,0.101493
0.3,0.12,-0.1055238,0.03569363,0.1010899
0.32,0.12,-0.1162739,0.03545152,0.1006798
0.34,0.12,-0.1266325,0.03440419,0.1002758
0.36,0.12,-0.1363776,0.03249568,0.09989338
0.38,0.12,-0.1452917,0.02969935,0.09954939
0.4,0.12,-0.153169,0.0260209,0.09926092
0.42,0.12,-0.1598206,0.02149982,0.09904386
0.44,0.12,-0.1650787,0.01620923,0.09891136
0.46,0.12,-0.1687994,0.01025462,0.09887233
0.48,0.12,-0.1708655,0.00377172,0.09893008
0.5,0.12,-0.1711883,-0.003076317,0.09908123
0.52,0.12,-0.1697098,-0.01010238,0.09931526
0.54,0.12,-0.1664063,-0.01709966,0.09961449
0.56,0.12,-0.1612911,-0.02384696,0.09995484
0.58,0.12,-0.1544196,-0.03011539,0.1003073
0.6,0.12,-0.1458928,-0.03567689,0.1006399
0.62,0.12,-0.1358613,-0.04031436,0.1009208
0.64,0.12,-0.1245275,-0.04383371,0.1011209
0.66,0.12,-0.1121451,-0.04607681,0.1012167
0.68,0.12,-0.09901526,-0.04693456,0.1011935
0.7,0.12,-0.0854787,-0.04635847,0.1010465
0.72,0.12,-0.07190288,-0.04436933,0.1007819
0.74,0.12,-0.05866551,-0.04106114,0.1004159
0.76,0.12,-0.04613459,-0.03659929,0.09997274
0.78,0.12,-0.0346473,-0.03121271,0.09948192
0.8,0.12,-0.02448946,-0.02518054,0.09897442
0.82,0.12,-0.01587768,-0.01881543,0.09847934
0.84,0.12,-0.008945599,-0.01244579,0.09802097
0.86,0.12,-0.003735741,-0.006400694,0.09761704
0.88,0.12,-0.000196559,-0.00100037,0.09727824
0.9,0.12,0.001815835,0.003445535,0.09700918
0.92,0.12,0.00253303,0.006631351,0.09681038
0.94,0.12,0.002269665,0.008242248,0.0966811
0.96,0.12,0.001422444,0.007937575,0.09662233
0.98,0.12,0.000476406,0.005332372,0.0966391
1,0.12,1.2377E-21,5.5563E-20,0.09671559
0,0.14,0,0,0.1049603
0.02,0.14,-0.000979023,0.003069382,0.1047692
0.04,0.14,-0.003642121,0.007109933,0.1045663
0.06,0.14,-0.007751327,0.0114804,0.1043849
